order_id,customer_id,order_date
1,18,2024-07-03
2,66,2025-04-01
3,64,2024-05-11
4,12,2025-01-12
5,97,2024-08-19
6,7,2024-10-28
7,15,2024-12-04
8,20,2025-02-23
9,81,2025-04-21
10,21,2025-04-21
11,88,2024-09-21
12,55,2024-11-28
13,77,2024-06-13
14,9,2025-02-16
15,50,2024-06-21
16,49,2024-08-24
17,77,2025-03-22
18,60,2024-08-06
19,68,2024-06-01
20,33,2025-01-04
21,71,2024-06-14
22,2,2024-12-10
23,88,2024-07-06
24,93,2024-07-27
25,15,2025-04-17
26,88,2024-08-26
27,69,2024-09-15
28,97,2025-02-10
29,35,2024-09-16
30,99,2024-09-18
31,83,2025-01-08
32,44,2024-05-11
33,15,2024-06-27
34,38,2024-12-26
35,56,2024-12-17
36,21,2025-04-30
37,59,2024-11-25
38,1,2024-05-11
39,93,2025-04-07
40,93,2024-09-04
41,34,2024-09-30
42,65,2024-11-04
43,98,2024-09-07
44,23,2024-05-08
45,65,2024-11-06
46,14,2025-04-22
47,81,2025-01-13
48,39,2024-06-08
49,82,2024-11-16
50,65,2025-04-22
51,78,2024-11-22
52,26,2024-07-26
53,20,2024-10-04
54,48,2024-12-26
55,98,2024-08-29
56,21,2024-09-18
57,70,2025-03-18
58,100,2024-08-23
59,68,2025-01-08
60,1,2025-01-31
61,77,2025-02-16
62,42,2025-04-06
63,63,2025-01-05
64,3,2024-09-09
65,15,2024-10-22
66,47,2024-09-09
67,40,2025-02-24
68,31,2025-02-14
69,8,2025-04-19
70,31,2025-04-05
71,73,2024-05-10
72,11,2024-05-19
73,11,2024-12-02
74,94,2024-08-19
75,63,2024-06-05
76,9,2024-08-26
77,98,2024-08-22
78,69,2025-03-01
79,99,2024-12-11
80,17,2025-02-28
81,17,2025-02-21
82,85,2024-07-07
83,61,2025-01-08
84,71,2024-10-28
85,22,2024-06-26
86,34,2025-03-06
87,68,2024-05-29
88,78,2024-08-10
89,55,2025-02-19
90,28,2025-03-26
91,70,2024-10-05
92,97,2024-12-26
93,94,2025-02-14
94,89,2025-01-08
95,26,2025-03-10
96,92,2024-10-26
97,40,2025-01-30
98,52,2025-01-11
99,86,2024-07-07
100,84,2025-02-20
101,48,2024-05-27
102,57,2025-04-04
103,67,2024-08-14
104,58,2025-02-10
105,16,2025-03-19
106,32,2024-08-04
107,29,2024-08-29
108,9,2024-09-06
109,44,2025-02-26
110,3,2024-06-04
111,76,2024-07-29
112,71,2024-12-22
113,30,2024-12-17
114,76,2024-08-06
115,29,2024-10-20
116,1,2024-06-29
117,10,2024-11-26
118,91,2024-08-01
119,81,2024-12-06
120,8,2024-05-22
121,30,2025-03-05
122,9,2024-08-13
123,5,2024-05-15
124,43,2025-01-30
125,10,2025-02-13
126,66,2025-04-07
127,31,2024-09-21
128,36,2024-06-19
129,86,2024-10-13
130,63,2024-10-11
131,28,2025-04-07
132,70,2025-01-15
133,17,2024-06-19
134,93,2024-10-17
135,74,2025-01-07
136,74,2025-02-11
137,61,2024-07-12
138,32,2024-11-28
139,61,2024-06-15
140,53,2024-06-27
141,25,2025-04-14
142,13,2025-04-10
143,13,2024-07-07
144,85,2024-11-12
145,56,2024-06-17
146,46,2024-08-18
147,55,2024-10-22
148,53,2024-12-21
149,60,2025-05-07
150,94,2024-05-18
151,7,2024-08-08
